,gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,playType,yardlineSide,yardlineNumber,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,preSnapVisitorScore,preSnapHomeScore,gameClock,absoluteYardlineNumber,penaltyCodes,penaltyJerseyNumbers,passResult,offensePlayResult,playResult,epa,isDefensivePI
0,2018091700,117,(13:24) R.Wilson pass incomplete short middle to R.Penny.,1,2,8,SEA,play_type_pass,SEA,38,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,0.0,13:24:00,48.0,,,I,0,0,-0.91191857483353,False
1,2018091700,139,(13:20) (Shotgun) R.Wilson pass short right to J.Brown to SEA 48 for 10 yards (K.Fuller).,1,3,8,SEA,play_type_pass,SEA,38,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,6.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,0.0,13:20:00,48.0,,,C,10,10,2.0770115439357,False
2,2018091700,163,(12:51) R.Wilson pass short left to W.Dissly to CHI 46 for 6 yards (A.Amos).,1,1,10,SEA,play_type_pass,SEA,48,I_FORM,"2 RB, 1 TE, 2 WR",8.0,5.0,"4 DL, 3 LB, 4 DB",SCRAMBLE,0.0,0.0,12:51:00,58.0,,,C,6,6,-0.0606708726648768,False
3,2018091700,208,(11:24) (Shotgun) R.Wilson sacked at CHI 44 for 0 yards (A.Lynch).,1,3,2,SEA,play_type_sack,CHI,44,EMPTY,"1 RB, 2 TE, 2 WR",5.0,5.0,"4 DL, 2 LB, 5 DB",SCRAMBLE,0.0,0.0,11:24:00,66.0,,,S,0,0,-1.67176924725417,False
4,2018091700,646,(4:55) (Shotgun) R.Wilson pass short left to B.Marshall to SEA 35 for 10 yards (P.Amukamara).,1,1,10,SEA,play_type_pass,SEA,25,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,7.0,04:55:00,35.0,,,C,10,10,0.659414018115778,False
5,2018091700,691,(3:42) (Shotgun) R.Wilson pass incomplete short left to B.Marshall (P.Amukamara).,1,2,6,SEA,play_type_pass,SEA,39,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,7.0,03:42:00,49.0,,,I,0,0,-0.914351818907092,False
6,2018091700,713,(3:38) (Shotgun) R.Wilson pass incomplete deep right to W.Dissly.,1,3,6,SEA,play_type_pass,SEA,39,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,7.0,03:38:00,49.0,,,I,0,0,-1.73830143878253,False
7,2018091700,1043,(13:25) (Shotgun) R.Wilson sacked at SEA 1 for -7 yards (E.Goldman).,2,2,15,SEA,play_type_sack,SEA,8,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,7.0,13:25:00,102.0,,,S,-7,-7,-1.25325571770722,False
8,2018091700,1072,(12:41) (Shotgun) R.Wilson pass short left to B.Marshall to SEA 9 for 8 yards (P.Amukamara).,2,3,22,SEA,play_type_pass,SEA,1,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,7.0,12:41:00,109.0,,,C,8,8,-0.510965556165376,False
9,2018091700,1194,(11:09) R.Wilson pass incomplete short left to N.Vannett (L.Floyd).,2,2,7,SEA,play_type_pass,SEA,27,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_LEFT,0.0,7.0,11:09:00,83.0,,,I,0,0,-0.876621377585683,False
10,2018091700,1216,(11:03) (Shotgun) R.Wilson pass incomplete short left to B.Marshall.,2,3,7,SEA,play_type_pass,SEA,27,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,7.0,11:03:00,83.0,,,I,0,0,-1.57337250957618,False
