,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
150,2018-09-18 00:17:53.599,48.8,45.41,0.12,0.1,0.01,251.42,231.19,ball_snap,2495108.0,Prince Amukamara,20.0,CB,11,home,2018091700,117,right,
151,2018-09-18 00:17:53.599,47.22,9.97,0.01,0.01,0.01,71.11,69.05,ball_snap,2495893.0,Brandon Marshall,15.0,WR,11,away,2018091700,117,right,GO
152,2018-09-18 00:17:53.599,51.97,32.38,0.33,0.21,0.04,265.09,269.93,ball_snap,2532961.0,Danny Trevathan,59.0,ILB,11,home,2018091700,117,right,
153,2018-09-18 00:17:53.599,46.33,30.32,0.04,0.02,0.02,64.79,285.03,ball_snap,2532975.0,Russell Wilson,3.0,QB,11,away,2018091700,117,right,
154,2018-09-18 00:17:53.599,46.69,45.55,0.0,0.0,0.02,102.6,249.68,ball_snap,2541966.0,Jaron Brown,18.0,WR,11,away,2018091700,117,right,GO
155,2018-09-18 00:17:53.599,49.29,9.89,0.07,0.04,0.01,274.18,160.05,ball_snap,2543681.0,Kyle Fuller,23.0,CB,11,home,2018091700,117,right,
156,2018-09-18 00:17:53.599,56.89,36.76,1.14,0.5,0.11,250.3,273.22,ball_snap,2552385.0,Adrian Amos,38.0,FS,11,home,2018091700,117,right,
157,2018-09-18 00:17:53.599,46.44,16.53,0.02,0.02,0.01,73.09,74.43,ball_snap,2552430.0,Tyler Lockett,16.0,WR,11,away,2018091700,117,right,IN
158,2018-09-18 00:17:53.599,52.44,16.09,0.17,0.12,0.04,263.82,190.74,ball_snap,2553500.0,Bryce Callahan,37.0,CB,11,home,2018091700,117,right,
159,2018-09-18 00:17:53.599,48.85,35.31,0.02,0.02,0.01,268.63,335.06,ball_snap,2555285.0,Leonard Floyd,94.0,OLB,11,home,2018091700,117,right,
160,2018-09-18 00:17:53.599,63.52,25.29,0.81,0.33,0.08,259.12,145.52,ball_snap,2558176.0,Eddie Jackson,39.0,FS,11,home,2018091700,117,right,
161,2018-09-18 00:17:53.599,42.5,30.29,0.03,0.02,0.01,90.85,313.91,ball_snap,2560835.0,Rashaad Penny,20.0,RB,11,away,2018091700,117,right,ANGLE
162,2018-09-18 00:17:53.599,52.11,29.21,0.09,0.03,0.01,276.67,257.68,ball_snap,2560877.0,Roquan Smith,58.0,LB,11,home,2018091700,117,right,
163,2018-09-18 00:17:53.599,47.13,35.27,0.01,0.02,0.06,83.99,35.34,ball_snap,2561046.0,Will Dissly,88.0,TE,11,away,2018091700,117,right,POST
164,2018-09-18 00:17:53.599,47.25,30.19,0.48,0.98,0.04,,,ball_snap,,Football,,,11,football,2018091700,117,right,
540,2018-09-18 00:17:56.200,56.73,49.15,7.36,1.19,0.74,25.21,76.74,pass_forward,2495108.0,Prince Amukamara,20.0,CB,37,home,2018091700,117,right,
541,2018-09-18 00:17:56.200,55.8,4.65,6.64,1.53,0.66,54.79,118.94,pass_forward,2495893.0,Brandon Marshall,15.0,WR,37,away,2018091700,117,right,GO
